"","Date","Month","Year","Minimum.temperature","Maximum.temperature","Rainfall..mm.","Direction.of.maximum.wind.gust","Speed.of.maximum.wind.gust..km.h.","Time.of.maximum.wind.gust","X9am.Temperature","X9am.relative.humidity....","X9am.cloud.amount..oktas.","X9am.wind.direction","X9am.wind.speed..km.h.","X9am.MSL.pressure..hPa.","X3pm.Temperature","X3pm.relative.humidity....","X3pm.cloud.amount..oktas.","X3pm.wind.direction","X3pm.wind.speed..km.h.","X3pm.MSL.pressure..hPa."
"1",2018-12-01,"2018","12",9,29.3,0,"NW",50,"12:52",17,68,8,"NW","9",1012,28,17,6,"NNW",30,1006.7
"2",2018-12-02,"2018","12",9.7,26.1,0,"WNW",72,"9:04",25,28,8,"NW","35",997.7,21.4,34,6,"WNW",31,1000.4
"3",2018-12-03,"2018","12",9.1,23.9,0,"W",59,"12:49",15.9,43,8,"W","28",1008.7,23.4,29,6,"WNW",37,1007.1
"4",2018-12-04,"2018","12",13,28.6,0,"E",50,"16:30",18.9,45,8,"W","7",1013.1,27.3,25,6,"NW",13,1012.4
"5",2018-12-05,"2018","12",14.2,24.7,0,"E",43,"18:32",16.1,69,8,"NE","13",1021.2,22.4,46,5,"NE",19,1018.8
"6",2018-12-06,"2018","12",12.1,29.3,0,"ENE",31,"15:33",15.9,72,7,"SE","2",1022.9,27.5,36,6,"NNE",11,1018.8
"7",2018-12-07,"2018","12",11.5,32.5,0,"NNE",33,"20:09",19.1,58,8,"SSE","6",1021.8,31.7,21,6,"N",11,1016.9
"8",2018-12-08,"2018","12",12.6,33.5,0,"NNW",37,"10:19",22.8,48,1,"WNW","6",1019.3,30.9,21,1,"WNW",19,1016.6
"9",2018-12-09,"2018","12",14.5,32.9,0,"SSW",41,"13:40",25.2,39,8,"S","4",1017.3,28.1,32,7,"SSE",19,1015.1
"10",2018-12-10,"2018","12",16,29,17,"N",52,"15:15",17.5,91,8,"NNE","9",1015.1,26.5,47,6,"N",28,1012.4
"11",2018-12-11,"2018","12",16.1,25,0,"E",37,"16:13",17.4,78,8,"NE","11",1018.1,22.9,58,6,"ENE",11,1015.2
"12",2018-12-12,"2018","12",14.9,28.4,0.6,"ENE",44,"18:53",16.9,66,1,"SE","7",1015.3,26.8,34,1,"NE",13,1009.4
"13",2018-12-13,"2018","12",16.8,24.4,28.6,"NW",81,"17:17",16.9,99,8,"SE","9",1001.3,23.6,68,8,"NW",11,997.9
"14",2018-12-14,"2018","12",15.1,23,33.2,"ENE",37,"10:18",18.7,81,8,"E","19",1001.8,22.2,62,8,"E",17,1001.7
"15",2018-12-15,"2018","12",16.1,26.4,9.2,"N",37,"10:25",21.3,78,1,"NNE","19",1006.2,25.6,35,3,"WNW",17,1004.1
"16",2018-12-16,"2018","12",13.6,27.8,0,"NW",52,"13:49",21.6,56,8,"WNW","11",1007.1,26.1,36,8,"NNW",30,1005.2
"17",2018-12-17,"2018","12",10.7,28.5,0,"E",39,"20:05",20.7,57,8,"NNW","4",1010.3,27.5,37,6,"WNW",22,1008.7
"18",2018-12-18,"2018","12",14.2,30.6,0,"E",50,"16:05",20.6,66,8,"ENE","9",1014.5,29,37,6,"NW",9,1010.7
"19",2018-12-19,"2018","12",17.8,29.3,0,"ENE",35,"19:04",18.5,80,8,"NNE","9",1014.7,26.3,52,2,"N",7,1010.6
"20",2018-12-20,"2018","12",17.1,33.3,0,"ESE",56,"17:28",22.7,68,8,"NW","2",1008.3,32.5,42,2,"NNW",15,1002.5
"21",2018-12-21,"2018","12",15.3,22.9,0,"SSW",39,"22:55",17.1,72,8,"SE","13",1007.8,21.9,60,6,"E",17,1005.5
"22",2018-12-22,"2018","12",11.1,22.5,16.2,"ESE",35,"15:43",13.4,67,7,"S","22",1012.5,21.2,36,2,"SSW",19,1012.5
"23",2018-12-23,"2018","12",7.6,23.6,1.6,"N",26,"12:28",14.5,57,8,"S","13",1020.5,21.6,37,6,"WSW",9,1018.6
"24",2018-12-24,"2018","12",9.5,28.6,0,"NNW",26,"17:33",17.5,63,8,"SW","7",1021,27.3,24,6,"WSW",11,1017.3
"25",2018-12-25,"2018","12",11.2,31.8,0,"E",35,"19:43",20.8,50,8,"ENE","2",1018.6,30.9,22,6,"WNW",13,1015.4
"26",2018-12-26,"2018","12",13.2,34.4,0,"WSW",41,"14:02",23.9,44,8,"NNE","4",1017.1,33.3,20,1,"W",19,1013.6
"27",2018-12-27,"2018","12",15,36.5,0,"NNW",37,"12:53",24.3,53,8,"E","2",1015.1,35,17,1,"W",19,1011
"28",2018-12-28,"2018","12",17.8,36.8,0,"W",56,"12:35",27.1,36,5," ","Calm",1013.5,33.8,20,8,"NW",24,1011.4
"29",2018-12-29,"2018","12",16.9,36.7,0,"ENE",48,"17:00",29.5,32,8,"NNW","20",1014.6,36.2,16,6,"NW",22,1012
"30",2018-12-30,"2018","12",16.7,34.5,0,"W",44,"18:27",21.8,60,5,"ESE","4",1015.5,33.7,14,8,"NW",31,1013.6
"31",2018-12-31,"2018","12",17.7,34.1,0,"W",57,"12:53",25.9,46,8,"SE","4",1013.9,29.8,29,1,"W",26,1011.5
"32",2018-11-01,"2018","11",8.1,34.2,0,"NNW",52,"15:23",17.7,66,8,"N","4",1022.4,31.2,20,6,"NNW",19,1016.7
"33",2018-11-02,"2018","11",17.4,33.4,0,"NW",74,"13:23",24.9,30,7,"NNW","28",1017.3,31.1,22,8,"NW",44,1010.6
"34",2018-11-03,"2018","11",15.9,27.5,1,"NNW",56,"23:15",19.6,30,8,"NW","28",1012.8,25.2,18,1,"WNW",31,1012.4
"35",2018-11-04,"2018","11",6.8,30.3,0,"N",54,"14:03",16.6,53,8,"NW","9",1015.1,28.1,18,6,"NNW",30,1009.1
"36",2018-11-05,"2018","11",11.8,27.5,0,"NW",57,"15:33",17.7,43,8,"S","7",1011.1,24.8,26,8,"NNW",37,1009.3
"37",2018-11-06,"2018","11",16,26.8,1.2,"NW",54,"14:08",19.2,81,8,"NNW","13",1009.2,24.4,56,6,"NW",35,1005.4
"38",2018-11-07,"2018","11",14.8,18.1,7.6,"NW",37,"14:44",17.4,91,8,"NNE","2",1004.8,13.7,95,7,"NNW",24,1004.5
