Domain,DomainDefinition,Indicator,IndicatorDefinition,MeasureID,Measure,MeasureDefinition,DataSource,PeriodEndDate,Type,CategoryName,CategoryOption,Value,Unit,RSE,LowerCI,UpperCI,ComparisonCategoryName,ComparisonCategoryOption,Notes
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2010 12:00:00 AM,ACT,All,,53.1,Percent,2.4,50.6,55.6,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2012 12:00:00 AM,ACT,All,,54,Percent,2.9,50.9,57,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2014 12:00:00 AM,ACT,Age Group,5-17,73.2,Percent,3,68.6,77.3,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,All,,52,Percent,2.9,49,54.9,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Age Group,35-44,53.02,Percent,5.903433,46.85,59.1,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2016 12:00:00 AM,ACT,Gender,Male,56.9,Percent,4.7,51.6,62,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2010 12:00:00 AM,ACT,Gender,Male,55,Percent,3.6,51.1,58.8,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2008 12:00:00 AM,ACT,Gender,Female,53.5,Percent,3.3,50,57,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2010 12:00:00 AM,ACT,Gender,Female,51.3,Percent,3.1,48.2,54.5,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2018 12:00:00 AM,ACT,Age Group,5-17,78.1,Percent,3.9,71.5,83.5,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
