Domain,DomainDefinition,Indicator,IndicatorDefinition,MeasureID,Measure,MeasureDefinition,DataSource,PeriodEndDate,Type,CategoryName,CategoryOption,Value,Unit,RSE,LowerCI,UpperCI,ComparisonCategoryName,ComparisonCategoryOption,Notes
Housing and home,Having a place to call home,Rental stress,"Having access to affordable, safe and sustainable housing in an important factor that contributes to social and economic participation. Rental affordability is a complex issue determined by the interaction of both rental supply and demand and is affected by levels of employment and income. This indicator will measure rental stress in Canberra by tracking the percentage of low-income households that spend more than 30 per cent of gross income on rental costs.",7,Rental stress,"This measure shows the proportion of low-income renter households paying more than 30% of their income on rent – that is, those in rental stress.",ABS Cat. No. 6553.0 Survey of Income and Housing Australia,01/30/2014 12:00:00 AM,Comparison,State / Territory,QLD,46.9,%,,,,,,"The measure is the proportion of low-income households in rental housing (including private and social housing rental) paying more than 30 per cent of their gross income on housing. Low income is defined as household income in the bottom two equivalised disposable income quintiles. 
It is calculated from results of the biennial ABS Survey of Income and Housing. The survey collects information from usual residents of private dwellings which include houses, flats, caravans, garages, tents, and other structures used as places of residence. Non--private dwellings such as boarding houses are excluded.
The ACT sample in 2017-18 was 773 households."
Housing and home,Having a place to call home,Rental stress,"Having access to affordable, safe and sustainable housing in an important factor that contributes to social and economic participation. Rental affordability is a complex issue determined by the interaction of both rental supply and demand and is affected by levels of employment and income. This indicator will measure rental stress in Canberra by tracking the percentage of low-income households that spend more than 30 per cent of gross income on rental costs.",7,Rental stress,"This measure shows the proportion of low-income renter households paying more than 30% of their income on rent – that is, those in rental stress.",ABS Cat. No. 6553.0 Survey of Income and Housing Australia,01/30/2016 12:00:00 AM,Comparison,State / Territory,QLD,35.8,%,,,,,,"The measure is the proportion of low-income households in rental housing (including private and social housing rental) paying more than 30 per cent of their gross income on housing. Low income is defined as household income in the bottom two equivalised disposable income quintiles. 
It is calculated from results of the biennial ABS Survey of Income and Housing. The survey collects information from usual residents of private dwellings which include houses, flats, caravans, garages, tents, and other structures used as places of residence. Non--private dwellings such as boarding houses are excluded.
The ACT sample in 2017-18 was 773 households."
Housing and home,Having a place to call home,Rental stress,"Having access to affordable, safe and sustainable housing in an important factor that contributes to social and economic participation. Rental affordability is a complex issue determined by the interaction of both rental supply and demand and is affected by levels of employment and income. This indicator will measure rental stress in Canberra by tracking the percentage of low-income households that spend more than 30 per cent of gross income on rental costs.",7,Rental stress,"This measure shows the proportion of low-income renter households paying more than 30% of their income on rent – that is, those in rental stress.",ABS Cat. No. 6553.0 Survey of Income and Housing Australia,01/30/2010 12:00:00 AM,Comparison,State / Territory,QLD,42.4,%,,,,,,"The measure is the proportion of low-income households in rental housing (including private and social housing rental) paying more than 30 per cent of their gross income on housing. Low income is defined as household income in the bottom two equivalised disposable income quintiles. 
It is calculated from results of the biennial ABS Survey of Income and Housing. The survey collects information from usual residents of private dwellings which include houses, flats, caravans, garages, tents, and other structures used as places of residence. Non--private dwellings such as boarding houses are excluded.
The ACT sample in 2017-18 was 773 households."
Housing and home,Having a place to call home,Rental stress,"Having access to affordable, safe and sustainable housing in an important factor that contributes to social and economic participation. Rental affordability is a complex issue determined by the interaction of both rental supply and demand and is affected by levels of employment and income. This indicator will measure rental stress in Canberra by tracking the percentage of low-income households that spend more than 30 per cent of gross income on rental costs.",7,Rental stress,"This measure shows the proportion of low-income renter households paying more than 30% of their income on rent – that is, those in rental stress.",ABS Cat. No. 6553.0 Survey of Income and Housing Australia,01/30/2014 12:00:00 AM,Comparison,State / Territory,SA,31.8,%,,,,,,"The measure is the proportion of low-income households in rental housing (including private and social housing rental) paying more than 30 per cent of their gross income on housing. Low income is defined as household income in the bottom two equivalised disposable income quintiles. 
It is calculated from results of the biennial ABS Survey of Income and Housing. The survey collects information from usual residents of private dwellings which include houses, flats, caravans, garages, tents, and other structures used as places of residence. Non--private dwellings such as boarding houses are excluded.
The ACT sample in 2017-18 was 773 households."
Housing and home,Having a place to call home,Rental stress,"Having access to affordable, safe and sustainable housing in an important factor that contributes to social and economic participation. Rental affordability is a complex issue determined by the interaction of both rental supply and demand and is affected by levels of employment and income. This indicator will measure rental stress in Canberra by tracking the percentage of low-income households that spend more than 30 per cent of gross income on rental costs.",7,Rental stress,"This measure shows the proportion of low-income renter households paying more than 30% of their income on rent – that is, those in rental stress.",ABS Cat. No. 6553.0 Survey of Income and Housing Australia,01/30/2014 12:00:00 AM,Comparison,Country,Australia,43.7,%,,,,,,"The measure is the proportion of low-income households in rental housing (including private and social housing rental) paying more than 30 per cent of their gross income on housing. Low income is defined as household income in the bottom two equivalised disposable income quintiles. 
It is calculated from results of the biennial ABS Survey of Income and Housing. The survey collects information from usual residents of private dwellings which include houses, flats, caravans, garages, tents, and other structures used as places of residence. Non--private dwellings such as boarding houses are excluded.
The ACT sample in 2017-18 was 773 households."
Housing and home,Having a place to call home,Rental stress,"Having access to affordable, safe and sustainable housing in an important factor that contributes to social and economic participation. Rental affordability is a complex issue determined by the interaction of both rental supply and demand and is affected by levels of employment and income. This indicator will measure rental stress in Canberra by tracking the percentage of low-income households that spend more than 30 per cent of gross income on rental costs.",7,Rental stress,"This measure shows the proportion of low-income renter households paying more than 30% of their income on rent – that is, those in rental stress.",ABS Cat. No. 6553.0 Survey of Income and Housing Australia,01/30/2008 12:00:00 AM,Comparison,State / Territory,NSW,40.8,%,,,,,,"The measure is the proportion of low-income households in rental housing (including private and social housing rental) paying more than 30 per cent of their gross income on housing. Low income is defined as household income in the bottom two equivalised disposable income quintiles. 
It is calculated from results of the biennial ABS Survey of Income and Housing. The survey collects information from usual residents of private dwellings which include houses, flats, caravans, garages, tents, and other structures used as places of residence. Non--private dwellings such as boarding houses are excluded.
The ACT sample in 2017-18 was 773 households."
Housing and home,Having a place to call home,Rental stress,"Having access to affordable, safe and sustainable housing in an important factor that contributes to social and economic participation. Rental affordability is a complex issue determined by the interaction of both rental supply and demand and is affected by levels of employment and income. This indicator will measure rental stress in Canberra by tracking the percentage of low-income households that spend more than 30 per cent of gross income on rental costs.",7,Rental stress,"This measure shows the proportion of low-income renter households paying more than 30% of their income on rent – that is, those in rental stress.",ABS Cat. No. 6553.0 Survey of Income and Housing Australia,01/30/2010 12:00:00 AM,Comparison,State / Territory,VIC,39.2,%,,,,,,"The measure is the proportion of low-income households in rental housing (including private and social housing rental) paying more than 30 per cent of their gross income on housing. Low income is defined as household income in the bottom two equivalised disposable income quintiles. 
It is calculated from results of the biennial ABS Survey of Income and Housing. The survey collects information from usual residents of private dwellings which include houses, flats, caravans, garages, tents, and other structures used as places of residence. Non--private dwellings such as boarding houses are excluded.
The ACT sample in 2017-18 was 773 households."
Housing and home,Having a place to call home,Rental stress,"Having access to affordable, safe and sustainable housing in an important factor that contributes to social and economic participation. Rental affordability is a complex issue determined by the interaction of both rental supply and demand and is affected by levels of employment and income. This indicator will measure rental stress in Canberra by tracking the percentage of low-income households that spend more than 30 per cent of gross income on rental costs.",7,Rental stress,"This measure shows the proportion of low-income renter households paying more than 30% of their income on rent – that is, those in rental stress.",ABS Cat. No. 6553.0 Survey of Income and Housing Australia,01/30/2010 12:00:00 AM,Comparison,State / Territory,SA,27.4,%,,,,,,"The measure is the proportion of low-income households in rental housing (including private and social housing rental) paying more than 30 per cent of their gross income on housing. Low income is defined as household income in the bottom two equivalised disposable income quintiles. 
It is calculated from results of the biennial ABS Survey of Income and Housing. The survey collects information from usual residents of private dwellings which include houses, flats, caravans, garages, tents, and other structures used as places of residence. Non--private dwellings such as boarding houses are excluded.
The ACT sample in 2017-18 was 773 households."
Housing and home,Having a place to call home,Rental stress,"Having access to affordable, safe and sustainable housing in an important factor that contributes to social and economic participation. Rental affordability is a complex issue determined by the interaction of both rental supply and demand and is affected by levels of employment and income. This indicator will measure rental stress in Canberra by tracking the percentage of low-income households that spend more than 30 per cent of gross income on rental costs.",7,Rental stress,"This measure shows the proportion of low-income renter households paying more than 30% of their income on rent – that is, those in rental stress.",ABS Cat. No. 6553.0 Survey of Income and Housing Australia,01/30/2016 12:00:00 AM,Comparison,State / Territory,TAS,23.4,%,,,,,,"The measure is the proportion of low-income households in rental housing (including private and social housing rental) paying more than 30 per cent of their gross income on housing. Low income is defined as household income in the bottom two equivalised disposable income quintiles. 
It is calculated from results of the biennial ABS Survey of Income and Housing. The survey collects information from usual residents of private dwellings which include houses, flats, caravans, garages, tents, and other structures used as places of residence. Non--private dwellings such as boarding houses are excluded.
The ACT sample in 2017-18 was 773 households."
Housing and home,Having a place to call home,Rental stress,"Having access to affordable, safe and sustainable housing in an important factor that contributes to social and economic participation. Rental affordability is a complex issue determined by the interaction of both rental supply and demand and is affected by levels of employment and income. This indicator will measure rental stress in Canberra by tracking the percentage of low-income households that spend more than 30 per cent of gross income on rental costs.",7,Rental stress,"This measure shows the proportion of low-income renter households paying more than 30% of their income on rent – that is, those in rental stress.",ABS Cat. No. 6553.0 Survey of Income and Housing Australia,01/30/2010 12:00:00 AM,Comparison,State / Territory,WA,37.7,%,,,,,,"The measure is the proportion of low-income households in rental housing (including private and social housing rental) paying more than 30 per cent of their gross income on housing. Low income is defined as household income in the bottom two equivalised disposable income quintiles. 
It is calculated from results of the biennial ABS Survey of Income and Housing. The survey collects information from usual residents of private dwellings which include houses, flats, caravans, garages, tents, and other structures used as places of residence. Non--private dwellings such as boarding houses are excluded.
The ACT sample in 2017-18 was 773 households."
