Domain,DomainDefinition,Indicator,IndicatorDefinition,MeasureID,Measure,MeasureDefinition,DataSource,PeriodEndDate,Type,CategoryName,CategoryOption,Value,Unit,RSE,LowerCI,UpperCI,ComparisonCategoryName,ComparisonCategoryOption,Notes
Personal wellbeing,,Personal wellbeing,"Personal wellbeing is a measure of an individual’s
satisfaction with their standard of living, health,
what they are achieving in life, relationships, safety,
community-connectedness, and future security.
This indicator will measure the overall wellbeing of
people in the ACT using the Personal Wellbeing
Index",84,Personal Wellbeing Index,"This measure provides an overall indication of the satisfaction of Canberrans with their standard of living, health, what they are achieving in life, relationships, safety, community-connectedness, and future security.","Living Well in the ACT Region survey, University of Canberra (2020) - www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Carers,"Carer with 15 or more hours per week caring obligations, or varied/hard to say hours",17.744663,Proportion (%),,5.039023,5.7353487,,,
Personal wellbeing,,Personal wellbeing,"Personal wellbeing is a measure of an individual’s
satisfaction with their standard of living, health,
what they are achieving in life, relationships, safety,
community-connectedness, and future security.
This indicator will measure the overall wellbeing of
people in the ACT using the Personal Wellbeing
Index",84,Personal Wellbeing Index,"This measure provides an overall indication of the satisfaction of Canberrans with their standard of living, health, what they are achieving in life, relationships, safety, community-connectedness, and future security.","Living Well in the ACT Region survey, University of Canberra (2020) - www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",05/31/2020 12:00:00 AM,ACT,CALD 1,Born overseas - English speaking country,23.768438,Proportion (%),,5.8972197,6.612009,,,
Personal wellbeing,,Personal wellbeing,"Personal wellbeing is a measure of an individual’s
satisfaction with their standard of living, health,
what they are achieving in life, relationships, safety,
community-connectedness, and future security.
This indicator will measure the overall wellbeing of
people in the ACT using the Personal Wellbeing
Index",84,Personal Wellbeing Index,"This measure provides an overall indication of the satisfaction of Canberrans with their standard of living, health, what they are achieving in life, relationships, safety, community-connectedness, and future security.","Living Well in the ACT Region survey, University of Canberra (2020) - www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Age - detailed groups,55-64,33.74623,Proportion (%),,3.7365437,3.8406208,,,
Personal wellbeing,,Personal wellbeing,"Personal wellbeing is a measure of an individual’s
satisfaction with their standard of living, health,
what they are achieving in life, relationships, safety,
community-connectedness, and future security.
This indicator will measure the overall wellbeing of
people in the ACT using the Personal Wellbeing
Index",84,Personal Wellbeing Index,"This measure provides an overall indication of the satisfaction of Canberrans with their standard of living, health, what they are achieving in life, relationships, safety, community-connectedness, and future security.","Living Well in the ACT Region survey, University of Canberra (2020) - www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,LGBTIQ+,Not LGBTIQ+,34.85402,Proportion (%),,1.8692244,1.8923154,,,
Personal wellbeing,,Personal wellbeing,"Personal wellbeing is a measure of an individual’s
satisfaction with their standard of living, health,
what they are achieving in life, relationships, safety,
community-connectedness, and future security.
This indicator will measure the overall wellbeing of
people in the ACT using the Personal Wellbeing
Index",84,Personal Wellbeing Index,"This measure provides an overall indication of the satisfaction of Canberrans with their standard of living, health, what they are achieving in life, relationships, safety, community-connectedness, and future security.","Living Well in the ACT Region survey, University of Canberra (2020) - www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",05/31/2020 12:00:00 AM,ACT,Age - detailed groups,35-44,20.502527,Proportion (%),,4.988731,5.826068,,,
Personal wellbeing,,Personal wellbeing,"Personal wellbeing is a measure of an individual’s
satisfaction with their standard of living, health,
what they are achieving in life, relationships, safety,
community-connectedness, and future security.
This indicator will measure the overall wellbeing of
people in the ACT using the Personal Wellbeing
Index",84,Personal Wellbeing Index,"This measure provides an overall indication of the satisfaction of Canberrans with their standard of living, health, what they are achieving in life, relationships, safety, community-connectedness, and future security.","Living Well in the ACT Region survey, University of Canberra (2020) - www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",05/31/2020 12:00:00 AM,ACT,Age - broad groups,50-64,24.20121,Proportion (%),,4.0180583,4.315644,,,
Personal wellbeing,,Personal wellbeing,"Personal wellbeing is a measure of an individual’s
satisfaction with their standard of living, health,
what they are achieving in life, relationships, safety,
community-connectedness, and future security.
This indicator will measure the overall wellbeing of
people in the ACT using the Personal Wellbeing
Index",84,Personal Wellbeing Index,"This measure provides an overall indication of the satisfaction of Canberrans with their standard of living, health, what they are achieving in life, relationships, safety, community-connectedness, and future security.","Living Well in the ACT Region survey, University of Canberra (2020) - www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Disability,"Person with disability, has moderate or high difficulty with daily functions",25.099796,Proportion (%),,2.8417823,5.8059835,,,
Personal wellbeing,,Personal wellbeing,"Personal wellbeing is a measure of an individual’s
satisfaction with their standard of living, health,
what they are achieving in life, relationships, safety,
community-connectedness, and future security.
This indicator will measure the overall wellbeing of
people in the ACT using the Personal Wellbeing
Index",84,Personal Wellbeing Index,"This measure provides an overall indication of the satisfaction of Canberrans with their standard of living, health, what they are achieving in life, relationships, safety, community-connectedness, and future security.","Living Well in the ACT Region survey, University of Canberra (2020) - www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Age - broad groups,18-29,31.60791,Proportion (%),,6.676632,7.4130974,,,
Personal wellbeing,,Personal wellbeing,"Personal wellbeing is a measure of an individual’s
satisfaction with their standard of living, health,
what they are achieving in life, relationships, safety,
community-connectedness, and future security.
This indicator will measure the overall wellbeing of
people in the ACT using the Personal Wellbeing
Index",84,Personal Wellbeing Index,"This measure provides an overall indication of the satisfaction of Canberrans with their standard of living, health, what they are achieving in life, relationships, safety, community-connectedness, and future security.","Living Well in the ACT Region survey, University of Canberra (2020) - www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",05/31/2020 12:00:00 AM,ACT,Age - detailed groups,64-75,36.270702,Proportion (%),,4.9725695,5.1486015,,,
Personal wellbeing,,Personal wellbeing,"Personal wellbeing is a measure of an individual’s
satisfaction with their standard of living, health,
what they are achieving in life, relationships, safety,
community-connectedness, and future security.
This indicator will measure the overall wellbeing of
people in the ACT using the Personal Wellbeing
Index",84,Personal Wellbeing Index,"This measure provides an overall indication of the satisfaction of Canberrans with their standard of living, health, what they are achieving in life, relationships, safety, community-connectedness, and future security.","Living Well in the ACT Region survey, University of Canberra (2020) - www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",05/31/2020 12:00:00 AM,ACT,Gender,Female,24.69336,Proportion (%),,2.7255173,2.8653636,,,
