Domain,DomainDefinition,Indicator,IndicatorDefinition,MeasureID,Measure,MeasureDefinition,DataSource,PeriodEndDate,Type,CategoryName,CategoryOption,Value,Unit,RSE,LowerCI,UpperCI,ComparisonCategoryName,ComparisonCategoryOption,Notes
Social connection,"Being connected with family, friends and community",Sense of social connection,"Social interactions with friends, family and community groups
help Canberrans to feel valued and connected to the broader
community. This indicator will measure Canberrans’ self rated sense of social connection to their family, friends and
the community.",25,Social connection scale - traditional,"This measure shows the proportion of adults with a high sense of traditional social connectedness. Traditional connectedness includes face to face engagement with family and friends not living in the same household, as well as chatting with neighbours.","Living Well in the ACT Region survey, University of Canberra (2020) - https&#58;//www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Carers,Carer with < 15 hours per week caring obligations,12.089643,Proportion (%),,4.16199,5.202305,,,
Social connection,"Being connected with family, friends and community",Sense of social connection,"Social interactions with friends, family and community groups
help Canberrans to feel valued and connected to the broader
community. This indicator will measure Canberrans’ self rated sense of social connection to their family, friends and
the community.",25,Social connection scale - traditional,"This measure shows the proportion of adults with a high sense of traditional social connectedness. Traditional connectedness includes face to face engagement with family and friends not living in the same household, as well as chatting with neighbours.","Living Well in the ACT Region survey, University of Canberra (2020) - https&#58;//www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Disability,"Person with disability/long-term health condition, little/no difficulty with daily functions",9.883313,Proportion (%),,2.535566,2.9209983,,,
Social connection,"Being connected with family, friends and community",Sense of social connection,"Social interactions with friends, family and community groups
help Canberrans to feel valued and connected to the broader
community. This indicator will measure Canberrans’ self rated sense of social connection to their family, friends and
the community.",25,Social connection scale - traditional,"This measure shows the proportion of adults with a high sense of traditional social connectedness. Traditional connectedness includes face to face engagement with family and friends not living in the same household, as well as chatting with neighbours.","Living Well in the ACT Region survey, University of Canberra (2020) - https&#58;//www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Gender,Male,7.842104,Proportion (%),,1.495892,1.6587528,,,
Social connection,"Being connected with family, friends and community",Sense of social connection,"Social interactions with friends, family and community groups
help Canberrans to feel valued and connected to the broader
community. This indicator will measure Canberrans’ self rated sense of social connection to their family, friends and
the community.",25,Social connection scale - traditional,"This measure shows the proportion of adults with a high sense of traditional social connectedness. Traditional connectedness includes face to face engagement with family and friends not living in the same household, as well as chatting with neighbours.","Living Well in the ACT Region survey, University of Canberra (2020) - https&#58;//www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,CALD 1,Born in Australia,8.484532,Proportion (%),,1.2464776,1.3436172,,,
Social connection,"Being connected with family, friends and community",Sense of social connection,"Social interactions with friends, family and community groups
help Canberrans to feel valued and connected to the broader
community. This indicator will measure Canberrans’ self rated sense of social connection to their family, friends and
the community.",25,Social connection scale - traditional,"This measure shows the proportion of adults with a high sense of traditional social connectedness. Traditional connectedness includes face to face engagement with family and friends not living in the same household, as well as chatting with neighbours.","Living Well in the ACT Region survey, University of Canberra (2020) - https&#58;//www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Disability,"Person with disability, has moderate or high difficulty with daily functions",8.8890705,Proportion (%),,1.7794194,2.0127146,,,
Social connection,"Being connected with family, friends and community",Sense of social connection,"Social interactions with friends, family and community groups
help Canberrans to feel valued and connected to the broader
community. This indicator will measure Canberrans’ self rated sense of social connection to their family, friends and
the community.",25,Social connection scale - traditional,"This measure shows the proportion of adults with a high sense of traditional social connectedness. Traditional connectedness includes face to face engagement with family and friends not living in the same household, as well as chatting with neighbours.","Living Well in the ACT Region survey, University of Canberra (2020) - https&#58;//www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Age - detailed groups,18-24,,Proportion (%),,,,,,
Social connection,"Being connected with family, friends and community",Sense of social connection,"Social interactions with friends, family and community groups
help Canberrans to feel valued and connected to the broader
community. This indicator will measure Canberrans’ self rated sense of social connection to their family, friends and
the community.",25,Social connection scale - traditional,"This measure shows the proportion of adults with a high sense of traditional social connectedness. Traditional connectedness includes face to face engagement with family and friends not living in the same household, as well as chatting with neighbours.","Living Well in the ACT Region survey, University of Canberra (2020) - https&#58;//www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Children in household,Children aged 5-17 in household,6.610571,Proportion (%),,1.9909455,2.5866885,,,
Social connection,"Being connected with family, friends and community",Sense of social connection,"Social interactions with friends, family and community groups
help Canberrans to feel valued and connected to the broader
community. This indicator will measure Canberrans’ self rated sense of social connection to their family, friends and
the community.",25,Social connection scale - traditional,"This measure shows the proportion of adults with a high sense of traditional social connectedness. Traditional connectedness includes face to face engagement with family and friends not living in the same household, as well as chatting with neighbours.","Living Well in the ACT Region survey, University of Canberra (2020) - https&#58;//www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Age - broad groups,65+,16.995945,Proportion (%),,1.8948734,2.0445635,,,
Social connection,"Being connected with family, friends and community",Sense of social connection,"Social interactions with friends, family and community groups
help Canberrans to feel valued and connected to the broader
community. This indicator will measure Canberrans’ self rated sense of social connection to their family, friends and
the community.",25,Social connection scale - traditional,"This measure shows the proportion of adults with a high sense of traditional social connectedness. Traditional connectedness includes face to face engagement with family and friends not living in the same household, as well as chatting with neighbours.","Living Well in the ACT Region survey, University of Canberra (2020) - https&#58;//www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Age - detailed groups,45-54,8.449767,Proportion (%),,2.200121,2.7597091,,,
Social connection,"Being connected with family, friends and community",Sense of social connection,"Social interactions with friends, family and community groups
help Canberrans to feel valued and connected to the broader
community. This indicator will measure Canberrans’ self rated sense of social connection to their family, friends and
the community.",25,Social connection scale - traditional,"This measure shows the proportion of adults with a high sense of traditional social connectedness. Traditional connectedness includes face to face engagement with family and friends not living in the same household, as well as chatting with neighbours.","Living Well in the ACT Region survey, University of Canberra (2020) - https&#58;//www.canberra.edu.au/research/institutes/health-research-institute/files/files-living-well-in-the-act/Living-well-in-the-ACT-region_Part-1_Indicators_7Dec2020.pdf",12/31/2019 12:00:00 AM,ACT,Disability,Person with no disability,7.6589093,Proportion (%),,1.5038075,1.6421946,,,
