"","Club_Name","Club_Venue_Address","Club_Venue_Suburb","Club_Venue_State","Club_Venue_Postcode","Club_Venue_Email","Club_Venue_Latitude.","Club_Venue_Longitude","Club_Venue_Sports","Club_Venue_Website","Creation_Date"
"1","Echunga Football Club","794 ECHUNGA ROAD","ECHUNGA","SA",5153,"echungafc@sanflcfl.com.au ",-35.09632,138.79249,"Australian Rules","http://echungafc.com.au/",1974-01-02
"2","Woodville Lacrosse Club","LOT 73 DRUMMOND AVENUE","FINDON","SA",5023,"juniors@warriorslax.com",-34.89434,138.52796,"Lacrosse","www.warriorslax.com",1978-12-12
"3","The Adelaide University Hockey Club","623A BURBRIDGE ROAD","WEST BEACH","SA",5024,"secretary@auhc.asn.au",-34.93515,138.51354,"Hockey","www.auhc.asn.au",1963-09-28
"4","Elizabeth Special Needs Judo Club","Elizabeth RSL Club","ELIZABETH EAST","SA",5112,"hab79919@bigpond.net.au",34.72323,138.68253,"Judo","www.specialneedsjudo.org.au",1951-12-24
"5","Adelaide Lutheran Sports Club","75 KING WILLIAM STREET","ADELAIDE","SA",5000,"",-34.92433,138.59942,"Australian Rules,Cricket,Football (Soccer),Netball","",1957-10-14
"6","Seacliff Tennis Club","1 LUCY MAY DRIVE","SEACLIFF","SA",5049,"info@seaclifftennis.com.au",-35.03849,138.52277,"Tennis","www.seaclifftennis.com.au",1975-12-25
"7","Adelaide Academy of Karate Do Shotokan","Marcia Avenue, 3/615","GILLES PLAINS","SA",5086,"adelaidemartialarts@gmail.com",-34.85445,138.65985,"Karate","www.adelaidemartialartsacademy.com.au",1961-05-25
"8","Naracoorte Hunt Pony Club ","175 REPEATER STATION ROAD","NARACOORTE","SA",5271,"sammys7@bigpond.com",-36.92564,140.73569,"Equestrian,Pony Clubs","",1965-09-11
"9","Bevan Braves Basketball Club","Jenkins Avenue","Whyalla","SA",NA,"bevanbravesbasketball@hotmail.com",-33.03874,137.50978,"Basketball","",1997-02-03
"10","North Haven Football Club","UNIT 1-2 LOT 1001 VICTORIA ROAD","LARGS NORTH","SA",5016,"tony@northhavenfc.com",-34.81889,138.50052,"Australian Rules","www.northhavenfc.com",1992-03-09
"11","Wirrulla Sports and Recreation Centre","135 GAWLER RANGES ROAD","WIRRULLA","SA",5661,"t.mhoward@bigpond.com",-32.40326,134.54132,"Australian Rules,Netball,Tennis","",1998-03-06
"12","Diving SA","LOT 1602 FITZROY TERRACE","NORTH ADELAIDE","SA",5006,"admin@divingsa.com.au",-34.90054,138.59102,"Diving","www.divingsa.com.au",1955-04-03
"13","Whyalla Cycling Club","LOT 90 MCBRYDE TERRACE","WHYALLA PLAYFORD","SA",5600,"whyallacyclingclub@gmail.com",-33.02469,137.57082,"Cycling","http://www.whyallacc.org.au/",1962-09-16
"14","Central Whyalla Football Club","25 MCDOUALL STUART AVENUE","WHYALLA STUART","SA",5608,"margotbyrne@internode.on.net",-33.01871,137.53118,"Australian Rules,Cricket,Netball,Touch","",1981-11-13
"15","Mypolonga S.K.A","6-8 GREEN STREET","MYPOLONGA","SA",5254,"mypo.shukokai@gmail.com",-35.03935,139.35407,"Karate","",1996-09-16
"16","Seaford Storm Netball Club","LOT 271 JANE STREET","PORT NOARLUNGA SOUTH","SA",5167,"seafordstormnc@outlook.com.au",-35.17332,138.47243,"Netball","http://www.seafordstorm.sa.netball.com.au/",1986-12-03
"17","Strathalbyn Cricket Club","7 ASHBOURNE ROAD","STRATHALBYN","SA",5255,"",-35.25927,138.88588,"Cricket","strathalbyncricketclub.sa.cricket.com.au",1952-11-08
"18","One Tree Hill Soccer Club","LOT 321 MCGILP ROAD","ONE TREE HILL","SA",5114,"onetreehillsc@gmail.com",-34.71357,138.76509,"Football (Soccer)","http://www.othsc.websyte.com.au/",1994-02-11
"19","Aldinga Bay Bowling Club","LOT 2 PORT ROAD","ALDINGA","SA",5173,"aldingabaybc@yahoo.com.au",-35.26831,138.47821,"Bowls","aldingabaybowlingclub.com",1957-04-05
