"Club_Name","Club_Venue_Address","Club_Venue_Suburb","Club_Venue_State","Club_Venue_Postcode","Club_Venue_Email","Club_Venue_Latitude ","Club_Venue_Longitude","Club_Venue_Sports","Club_Venue_Website"
"Echunga Football Club","794 ECHUNGA ROAD","ECHUNGA","SA","5153","echungafc@sanflcfl.com.au ","-35.096319999999999","138.79248999999999","Australian Rules","http://echungafc.com.au/"
"Woodville Lacrosse Club","LOT 73 DRUMMOND AVENUE","FINDON","SA","5023","juniors@warriorslax.com","-34.89434","138.52796000000001","Lacrosse","www.warriorslax.com"
"The Adelaide University Hockey Club","623A BURBRIDGE ROAD","WEST BEACH","SA","5024","secretary@auhc.asn.au","-34.93515","138.51354000000001","Hockey","www.auhc.asn.au"
"Elizabeth Special Needs Judo Club","Elizabeth RSL Club","ELIZABETH EAST","SA","5112","hab79919@bigpond.net.au","34.723230000000001","138.68253000000001","Judo","www.specialneedsjudo.org.au"
"Adelaide Lutheran Sports Club","75 KING WILLIAM STREET","ADELAIDE","SA","5000","","-34.924329999999998","138.59942000000001","Australian Rules,Cricket,Football (Soccer),Netball",""
"Seacliff Tennis Club","1 LUCY MAY DRIVE","SEACLIFF","SA","5049","info@seaclifftennis.com.au","-35.038490000000003","138.52277000000001","Tennis","www.seaclifftennis.com.au"
"Adelaide Academy of Karate Do Shotokan","Marcia Avenue, 3/615","GILLES PLAINS","SA","5086","adelaidemartialarts@gmail.com","-34.85445","138.65985000000001","Karate","www.adelaidemartialartsacademy.com.au"
"Naracoorte Hunt Pony Club ","175 REPEATER STATION ROAD","NARACOORTE","SA","5271","sammys7@bigpond.com","-36.925640000000001","140.73569000000001","Equestrian,Pony Clubs",""
"Bevan Braves Basketball Club","Jenkins Avenue","Whyalla","SA","","bevanbravesbasketball@hotmail.com","-33.038739999999997","137.50978000000001","Basketball",""
"North Haven Football Club","UNIT 1-2 LOT 1001 VICTORIA ROAD","LARGS NORTH","SA","5016","tony@northhavenfc.com","-34.818890000000003","138.50051999999999","Australian Rules","www.northhavenfc.com"
"Wirrulla Sports and Recreation Centre","135 GAWLER RANGES ROAD","WIRRULLA","SA","5661","t.mhoward@bigpond.com","-32.403260000000003","134.54132000000001","Australian Rules,Netball,Tennis",""
"Diving SA","LOT 1602 FITZROY TERRACE","NORTH ADELAIDE","SA","5006","admin@divingsa.com.au","-34.900539999999999","138.59101999999999","Diving","www.divingsa.com.au"
"Whyalla Cycling Club","LOT 90 MCBRYDE TERRACE","WHYALLA PLAYFORD","SA","5600","whyallacyclingclub@gmail.com","-33.02469","137.57082","Cycling","http://www.whyallacc.org.au/"
"Central Whyalla Football Club","25 MCDOUALL STUART AVENUE","WHYALLA STUART","SA","5608","margotbyrne@internode.on.net","-33.018709999999999","137.53118000000001","Australian Rules,Cricket,Netball,Touch",""
"Mypolonga S.K.A","6-8 GREEN STREET","MYPOLONGA","SA","5254","mypo.shukokai@gmail.com","-35.039349999999999","139.35407000000001","Karate",""
"Seaford Storm Netball Club","LOT 271 JANE STREET","PORT NOARLUNGA SOUTH","SA","5167","seafordstormnc@outlook.com.au","-35.173319999999997","138.47243","Netball","http://www.seafordstorm.sa.netball.com.au/"
"Strathalbyn Cricket Club","7 ASHBOURNE ROAD","STRATHALBYN","SA","5255","","-35.259270000000001","138.88587999999999","Cricket","strathalbyncricketclub.sa.cricket.com.au"
"One Tree Hill Soccer Club","LOT 321 MCGILP ROAD","ONE TREE HILL","SA","5114","onetreehillsc@gmail.com","-34.713569999999997","138.76508999999999","Football (Soccer)","http://www.othsc.websyte.com.au/"
"Aldinga Bay Bowling Club","LOT 2 PORT ROAD","ALDINGA","SA","5173","aldingabaybc@yahoo.com.au","-35.26831","138.47820999999999","Bowls","aldingabaybowlingclub.com"
"Atilio Waltcheff Tennis School","9 HOWARD LANE","MOUNT BARKER","SA","5251","admin@awtennis.com.au","-35.075670000000002","138.86250999999999","Tennis","www.awtennis.com.au"
"Atilio Waltcheff Tennis School","1A SAMUEL STREET","TRANMERE","SA","5073","admin@awtennis.com.au","-34.900590000000001","138.65907999999999","Tennis","www.awtennis.com.au"
"Great Southern Badminton Association","LOT 100 INMAN VALLEY ROAD","VICTOR HARBOR","SA","5211","","-35.555340000000001","138.59728999999999","Badminton",""
"High Performance Tennis","34 ARTHUR STREET","PAYNEHAM","SA","5070","info@hptennis.com.au","-34.898809999999997","138.64252999999999","Tennis","www.hptennis.com.au"
"Mount Pleasant Netball Club","180 FROMM ROAD","MOUNT PLEASANT","SA","5235","mtpnetballclub@gmail.com","-34.76493","139.08322999999999","Bowls,Netball,Tennis",""
"Dartmoor Hockey Club","33 PLAYFORD DRIVE","NARACOORTE","SA","5271","dartmoorhc@hotmail.com","-36.946910000000003","140.73177000000001","Hockey","https://sitedesq.sportstg.com/site/index.cfm?fuseaction=display_main&OrgID=11616"
"Trinity Gardens Tennis Club","32 ALBERMARLE AVENUE","TRINITY GARDENS","SA","5068","teams@tgtc.com.au","-34.911700000000003","138.6481","Tennis","www.tgtc.com.au"
"Tigers Rugby League Club Incorporated","139-159 BRADLEY GROVE","MITCHELL PARK","SA","5043","gog2709@hotmail.com","-35.001629999999999","138.56403","Rugby League","http://tigers.rlc.adelaide.leaguenet.com.au/"
"Southern Athletic Club Incorporated","26 HEWLETT PACKARD STREET","REYNELLA EAST","SA","5161","info@southernac.org.au","-35.091819999999998","138.55780999999999","Athletics","http://southernac.org.au"
"Port Noarlunga Football and Sports Club","LOT 9 BRITAIN DRIVE","PORT NOARLUNGA SOUTH","SA","5167","pnfcsports@gmail.com","-35.158140000000003","138.47666000000001","Australian Rules,Cricket,Gridiron,Netball,Tennis","pnfc.org.au"
"The Western Districts Junior Rugby Union Football Club","UNIT 1-2 LOT 36 OLD PORT ROAD","PORT ADELAIDE","SA","5015","stuarttod@adam.com.au","-34.850909999999999","138.50271000000001","Rugby Union",""
"Encounter Bay Football Club","12 EWEN TERRACE","VICTOR HARBOR","SA","5211","juniorfooty@ebfc.com.au","-35.555239999999998","138.60187999999999","Australian Rules","www.ebfc.com.au"
"Vietnamese Friendship Table Tennis Club","11 GLADSTONE AVENUE","KILBURN","SA","5084","khoinhu1112@gmail.com","-34.86374","138.58499","Table Tennis",""
"South Adelaide Volleyball Club","27 ALISON AVENUE","MARION","SA","5043","treasurer@savcpanthers.com","-35.00412","138.55349000000001","Volleyball","www.savcpanthers.com"
"Whyalla Judo Social Club","LOT 6537 CARTLEDGE AVENUE","WHYALLA STUART","SA","5608","whyallajudoclub@gmail.com","-33.039549999999998","137.51170999999999","Judo","whyallajudoclub.org.au"
"Elizabeth Gymnastics Club","20 LEONARD STREET","ELIZABETH PARK","SA","5113","Elizabethgymnasticsclub@gmail.com","-34.711370000000002","138.68115","Gymnastics",""
"Kingston SE Golf Club","107 GOLFLINKS ROAD","KINGSTON SE","SA","5275","cooper.peter.kgnse@bigpond.com","-36.856270000000002","139.84486000000001","Golf",""
"Elizabeth Eastside Calisthenic Club","2 DOLPHIN STREET","ELIZABETH EAST","SA","5112","lindap_s@hotmail.con","-34.726460000000003","138.67803000000001","Calisthenics",""
"Central Augusta Football Club","58 OLD POWER STATION ROAD","PORT AUGUSTA","SA","5700","centfc@bigpond.net.au","-32.510829999999999","137.78552999999999","Australian Rules",""
"Para Vista Calisthenics School","12 CAROONA AVENUE","MODBURY HEIGHTS","SA","5092","paravistacalisthenics@hotmail.com","-34.817770000000003","138.66596999999999","Calisthenics","http://www.paravistacalisthenics.com.au"
"Macclesfield Football Club","10 DAVIES STREET","MACCLESFIELD","SA","5153","gaband@adam.com.au","-35.170020000000001","138.83088000000001","Australian Rules","http://www.foxsportspulse.com/club_info.cgi?clubID=93493&c=1-6621-0-0-0"
"Saints United Tennis Club","211-213 JUBILEE HIGHWAY EAST","GLENBURNIE","SA","5291","catalinacottage@bigpond.com","-37.841630000000002","140.81934000000001","Tennis",""
"Glenelg Surf Life Saving Club","LOT 1 SOUTH ESPLANADE","GLENELG","SA","5045","secretary@glenelgslsc.com.au","-34.98019","138.51082","Surf Lifesaving","http://www.glenelgslsc,com.au"
"Hackham West Community Centre","2 MAJORCA ROAD","HACKHAM WEST","SA","5163","lyndahann@bigpond.com","-35.142490000000002","138.51396","Tennis","http://www.hwcc.org.au"
"Houghton Table Tennis and Sports Club","LOT 52 STRADBROKE ROAD","NEWTON","SA","5074","lynann66@bigpond.com","-34.883679999999998","138.69171","Table Tennis",""
"Broughton Mundoora Netball Club","LOT 523 EAST TERRACE","PORT BROUGHTON","SA","5522","amtlireland@bigpond.com","-33.598869999999998","137.93455","Netball","http://www.broughtonmundoora.netball.asn.au"
"Mannum Football Club","LOT 126 BORONIA ROAD","PORT MANNUM","SA","5238","mannumfootballclub@gmail.com","-34.922179999999997","139.29938999999999","Australian Rules","http://www.foxsportspulse.com/club_info.cgi?c=1-6715-0-0-0&clubID=97120"
"Dynamic Gymnastics Club","2A MAY TERRACE","OTTOWAY","SA","5013","skemail@bigpond.com","-34.851410000000001","138.52721","Gymnastics","http://Dynamic Gymnastics Club"
"Port Augusta and Districts Little Athletics Club","21 BECKMAN STREET","STIRLING NORTH","SA","5710","padlittleaths@gmail.com","-32.513269999999999","137.83864","Athletics",""
"Japan Karate Association - Salisbury Dojo","12-28 GARDEN TERRACE","MAWSON LAKES","SA","5095","dion@risborg.com.au","-34.809829999999998","138.61412999999999","Karate","http://www.JKASA.com.au"
"Japan Karate Association - Salisbury Dojo","2-26 FARLEY GROVE","SALISBURY NORTH","SA","5108","dion@risborg.com.au","-34.756180000000001","138.64066","Karate","http://www.JKASA.com.au"
